X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
LE BOULOU	29,4	29,4	29,4	29,4	29,4	29,4	29,4	29,4	29,4	29,4	26,5	26	24,3	23,6	23,5	21,5	20,5	19	18,2	16,4	16,1	15,9	14,8	13,2	13	13,1	13,3	14,9	11,9	11,5
PEAGE DU PERTHUS	31,3	31,3	31,3	31,3	31,3	31,3	31,3	31,3	31,3	31,3	28,8	27,8	26,2	25,3	25,1	23,4	22,5	20,7	19,9	18,1	18	17,7	16,6	15	14,6	14,7	15	16,6	13,5	13,2
FRONTIERE ESPAGNOLE	31,3	31,3	31,3	31,3	31,3	31,3	31,3	31,3	31,3	31,3	28,8	27,8	26,2	25,3	25,1	23,4	22,5	20,7	19,9	18,1	18	17,7	16,6	15	14,6	14,7	15	16,6	13,5	13,2
LEZIGNAN	25,8	25,8	25,8	25,8	25,8	25,8	25,8	25,8	25,8	25,8	23,2	22,5	20,7	20	19,9	17,9	16,9	15,6	14,8	13	12,7	12,3	11,3	9,6	9,3	9,5	9,8	11,6	8,3	7,9
CARCASSONNE EST	28,3	28,3	28,3	28,3	28,3	28,3	28,3	28,3	28,3	28,3	25,5	24,8	23,1	22,3	22,2	20,2	19,5	17,9	17,1	15,2	15,1	14,8	13,8	12,2	11,8	11,9	12,2	13,9	10,6	10,5
CARCASSONNE OUEST	28,5	28,5	28,5	28,5	28,5	28,5	28,5	28,5	28,5	28,5	25,7	25	23,3	22,6	22,4	20,4	19,7	18,2	17,3	15,4	15,3	15	14	12,4	12	12,1	12,4	14,2	11	10,7
BRAM	30,1	30,1	30,1	30,1	30,1	30,1	30,1	30,1	30,1	30,1	27,1	26,6	24,9	24,2	24,1	21,9	21,1	19,6	18,8	17,1	16,7	16,4	15,3	13,9	13,5	13,8	13,9	15,7	12,5	12
CASTELNAUDARY	30,8	30,8	30,8	30,8	30,8	30,8	30,8	30,8	30,8	30,8	27,9	27,4	25,7	24,9	24,8	22,8	21,8	20,4	19,6	17,8	17,5	17	16,2	14,6	14,3	14,5	14,8	16,4	13,2	12,9
VILLEFRANCHE DE LAURAGAIS	32,2	32,2	32,2	32,2	32,2	32,2	32,2	32,2	32,2	32,2	29,3	28,7	26,9	26,1	26	24,3	23,5	21,7	20,8	18,9	18,8	18,6	17,5	15,9	15,5	15,8	16	17,7	14,5	14,1
NAILLOUX	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	29,7	29	27,3	26,3	26,2	24,5	23,7	22,1	21,2	19,5	19,1	18,8	17,7	16,5	16,1	16,2	16,3	18,1	14,8	14,5
MAZERES SAVERDUN	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	30,3	29,4	27,7	26,9	26,7	25	24,1	22,7	21,9	20,7	20	19,6	18,6	16,9	16,7	16,8	17,5	18,6	15,3	15,2
PEAGE DE PAMIERS	33,1	33,1	33,1	33,1	33,1	33,1	33,1	33,1	33,1	33,1	30,5	29,8	28,2	27,3	27,1	25,3	24,4	22,9	22,1	21,3	20,4	19,8	18,9	17,2	16,9	17,1	17,7	19	15,5	15,4
PAMIERS NORD	33,1	33,1	33,1	33,1	33,1	33,1	33,1	33,1	33,1	33,1	30,5	29,8	28,2	27,3	27,1	25,3	24,4	22,9	22,1	21,3	20,4	19,8	18,9	17,2	16,9	17,1	17,7	19	15,5	15,4
PAMIERS SUD	33,1	33,1	33,1	33,1	33,1	33,1	33,1	33,1	33,1	33,1	30,5	29,8	28,2	27,3	27,1	25,3	24,4	22,9	22,1	21,3	20,4	19,8	18,9	17,2	16,9	17,1	17,7	19	15,5	15,4
MONTGISCARD	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	29,8	29,3	27,5	26,4	26,3	24,7	23,9	22,2	21,3	19,7	19,3	19	18	16,5	16,2	16,3	16,5	18,3	15,1	14,7
PEAGE DE TOULOUSE SUD/OUEST	33,7	33,7	33,7	33,7	33,7	33,7	33,7	33,7	33,7	33,7	31,1	30,8	29	28	27,9	26	25,3	23,7	22,9	20,9	20,6	20,3	19,5	17,8	17,4	17,6	17,9	19,7	16,4	16
LE PALAYS	33,7	33,7	33,7	33,7	33,7	33,7	33,7	33,7	33,7	33,7	31,1	30,8	29	28	27,9	26	25,3	23,7	22,9	20,9	20,6	20,3	19,5	17,8	17,4	17,6	17,9	19,7	16,4	16
PEAGE DE TOULOUSE SUD/EST	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	31,5	31,2	29,4	28,4	28,3	26,4	25,7	24,1	23,3	21,3	21	20,7	19,9	18,2	17,8	18	18,3	20,1	16,8	16,4
MONTAUDRAN	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	31,5	31,2	29,4	28,4	28,3	26,4	25,7	24,1	23,3	21,3	21	20,7	19,9	18,2	17,8	18	18,3	20,1	16,8	16,4
LASBORDES	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	31,5	31,2	29,4	28,4	28,3	26,4	25,7	24,1	23,3	21,3	21	20,7	19,9	18,2	17,8	18	18,3	20,1	16,8	16,4
SOUPETARD	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	31,5	31,2	29,4	28,4	28,3	26,4	25,7	24,1	23,3	21,3	21	20,7	19,9	18,2	17,8	18	18,3	20,1	16,8	16,4
LA ROSERAIE	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	31,5	31,2	29,4	28,4	28,3	26,4	25,7	24,1	23,3	21,3	21	20,7	19,9	18,2	17,8	18	18,3	20,1	16,8	16,4
LA CROIX DAURADE	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	31,5	31,2	29,4	28,4	28,3	26,4	25,7	24,1	23,3	21,3	21	20,7	19,9	18,2	17,8	18	18,3	20,1	16,8	16,4
BORDEROUGE	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	31,5	31,2	29,4	28,4	28,3	26,4	25,7	24,1	23,3	21,3	21	20,7	19,9	18,2	17,8	18	18,3	20,1	16,8	16,4
LES IZARDS	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	31,5	31,2	29,4	28,4	28,3	26,4	25,7	24,1	23,3	21,3	21	20,7	19,9	18,2	17,8	18	18,3	20,1	16,8	16,4
SESQUIERES	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	34,1	31,5	31,2	29,4	28,4	28,3	26,4	25,7	24,1	23,3	21,3	21	20,7	19,9	18,2	17,8	18	18,3	20,1	16,8	16,4
