null	L ISLE-S/LE-DOUBS	91.7	52.5
null	BEAUNE NORD	78.7	44.8
null	SOIRANS	83.4	47.8
null	BESANCON EST	87.6	50.2
null	SAINT MAURICE	95.9	55.3
null	BAUME-LES-DAMES	90.2	51.8
null	BESANCON NORD	87.6	49.8
null	BESANCON OUEST	87.6	49.7
null	GENDREY	85.2	48.8
null	DOLE	84.2	47.9
null	CHOISEY	84.2	47.9
null	SEURRE	81.9	46.5
null	FEILLENS	86.3	49.5
null	REPLONGES	86.3	49.5
null	BOURG NORD	88.8	50.8
null	VIRIAT	88.9	51.4
null	BOURG SUD	89.9	52.0
null	ST MARTIN-DU-FRESNE	94.3	54.5
null	SYLANS	94.9	54.8
null	SAINT GENIS	90.4	51.7
null	BEYNOST	95.8	55.3
null	BALAN	93.5	53.7
null	PEROUGES	93.5	53.7
null	LA BOISSE	97.2	56.1
null	AMBERIEU	92.6	53.1
null	PONT D AIN	91.2	52.6
null	LA CROIX-CHALON	94.5	54.5
null	DIJON-ARC S/TILLE	83.8	47.7
null	TIL CHATEL	81.2	46.0
null	LANGRES SUD	78.9	44.8
null	LANGRES NORD	78.2	44.2
null	MONTIGNY-LE-ROI	79.8	45.2
null	GROISSIAT	96.2	55.5
null	BULGNEVILLE	82.8	46.8
null	CHATENOIS	83.1	47.4
null	COLOMBEY-LES-BELLES	85.7	48.5
null	GYE	87.8	49.6
null	CHAUMONT-SEMOUTIERS	76.2	43.0
null	VILLE SOUS LAFERTE	74.6	42.1
null	MAGNANT	73.2	41.2
null	SAINT THIBAULT	70.7	40.1
null	TORVILLIERS	70.2	39.7
null	VULAINES	68.2	38.0
null	MAROLLES-SUR-SEINE	68.0	37.9
null	FORGES	68.0	37.9
null	CHATILLON-LABORDE	70.2	39.7
null	ST-GERMAIN-LAXIS	70.2	39.7
null	LES EPRUNES	71.2	40.5
null	VILLENEUVE-DONDAGRE	64.1	35.9
null	THENNELIERES	71.9	40.8
null	ST-DENIS-LES-SENS	65.2	36.5
null	VILLEFRANCHE-NORD	89.5	51.3
null	ARLAY	87.4	49.7
null	BERSAILLIN	87.2	49.6
null	BEAUREPAIRE	88.5	50.4
null	LE MIROIR	89.5	51.2
null	BEAUPONT	90.4	52.0
null	VAL DE SAONE	92.9	52.9
null	LA BOISSE - MONTLUEL	95.0	54.7
null	LA COTIERE	95.7	55.2
null	ROBECOURT	81.3	46.2
null	BELLEGARDE	99.1	57.0
null	ELOISE	0.4	57.9
null	VIRY	4.4	60.5
null	DEUX CHAISES	19.6	11.2
null	ST AMAND-MONTROND	21.7	12.8
null	FORET DE TRONCAIS	19.1	11.4
null	MONTLUCON	18.8	11.2
null	MONTMARAULT	16.7	9.5
null	GANNAT	14.8	8.4
null	COMBRONDE	12.9	7.5
null	RIOM	13.5	7.8
null	GERZAT-VILLE	14.0	8.0
null	CLERMONT-BARRIERE	15.4	8.9
null	FLEURY-EN-BIERE	66.1	37.1
null	URY	64.6	36.2
null	FONTAINEBLEAU	63.8	35.7
null	NEMOURS	63.8	35.7
null	COURTENAY	60.5	33.8
null	JOIGNY	62.0	34.6
null	AUXERRE NORD	64.7	36.1
null	AUXERRE SUD	64.7	36.1
null	NITRY	66.6	37.4
null	AVALLON	68.3	38.8
null	BIERRE-LES-SEMUR	70.3	39.7
null	POUILLY-EN-AUXOIS	73.6	41.5
null	BEAUNE SUD	77.3	43.9
null	CHALON NORD	79.6	45.1
null	CHALON SUD	79.6	45.1
null	TOURNUS	81.0	46.2
null	MACON NORD	83.6	47.6
null	MACON SUD	84.5	48.1
null	BELLEVILLE S/SAONE	86.0	48.9
null	VILLEFRANCHE-VILLE	87.4	50.1
null	VILLEFRANCHE-LIMAS	90.6	51.6
